City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Natchez,US,89.6,31.56,-91.4,Hampton Inn & Suites Natchez
1,Richards Bay,ZA,61.41,-28.78,32.04,BON Hotel Waterfront Richards Bay
3,Seoul,KR,69.8,37.57,126.98,LOTTE HOTEL SEOUL
6,Guia Lopes Da Laguna,BR,85.53,-21.46,-56.11,Donna Lu
7,Kupang,ID,76.64,-10.17,123.58,Sylvia Hotel Premier Kupang
10,Saint-Denis,FR,66.99,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
12,Vila Velha,BR,75.0,-20.33,-40.29,Hotel Vitória Palace
14,Lahij,YE,91.76,13.17,44.58,
15,Carlsbad,US,73.99,33.16,-117.35,Carlsbad Inn Beach Resort
16,Kavaratti,IN,84.11,10.57,72.64,Bismillah Hotel And Lodging
18,Nikolskoye,RU,68.0,59.7,30.79,Tourist House - Sablino
20,Buala,SB,80.42,-8.14,159.59,Maringe Lagoon Lodge
21,Isangel,VU,71.6,-19.55,169.27,Volcano Sea View Tree House
22,Vaitape,PF,80.89,-16.52,-151.75,Hotel Maitai Polynesia
23,Vaini,TO,75.2,-21.2,-175.2,Keleti Beach Resort
24,Las Guacamayas,MX,88.47,18.02,-102.22,Posada el Jazmín
25,Tournai,BE,62.6,50.61,3.39,HOTEL CATHEDRALE
27,Neftekumsk,RU,74.21,44.67,44.92,
28,Granadilla De Abona,ES,75.0,28.12,-16.58,Hotel Rural Senderos De Abona
29,Jamestown,US,80.01,42.1,-79.24,Hampton Inn & Suites Jamestown
30,Pouebo,NC,68.52,-20.4,164.57,
33,Yellowknife,CA,71.6,62.46,-114.35,The Explorer Hotel
37,Fort-Shevchenko,KZ,85.48,44.51,50.26,Oasis hotel Bautino
38,Gouyave,GD,89.6,12.16,-61.73,Rumboat Retreat
39,Butaritari,KI,82.8,3.07,172.79,Isles Sunset Lodge
40,Hilo,US,80.6,19.73,-155.09,Hilo Hawaiian Hotel
45,Camp Verde,US,91.0,34.56,-111.85,Days Inn by Wyndham Camp Verde Arizona
46,Baie-Comeau,CA,75.2,49.22,-68.15,Travelodge by Wyndham Baie Comeau
47,Puerto Penasco,MX,82.99,31.32,-113.53,Playa Bonita Resort
48,Marzuq,YE,86.52,14.4,46.47,
49,Mitsamiouli,KM,78.24,-11.38,43.28,Foyer ADM
51,Pontes E Lacerda,BR,87.49,-15.23,-59.34,Hotel Bressan
52,Atuona,PF,80.56,-9.8,-139.03,Villa Enata
53,Zyryanka,RU,81.14,65.75,150.85,Zyryanka
55,Ribeira Grande,PT,66.2,38.52,-28.7,Quinta da Meia Eira
58,Barreirinha,BR,88.68,-2.79,-57.07,Hotel e Restaurante Tupana Iwato
61,Namatanai,PG,79.32,-3.67,152.43,Namatanai Hotel
62,Vao,NC,69.64,-22.67,167.48,Hotel Kou-Bugny
63,Mana,GF,82.8,5.66,-53.78,LE SAMANA
65,Teguise,ES,73.4,29.06,-13.56,B&B La Casona de Nazaret
66,Avarua,CK,73.4,-21.21,-159.78,Paradise Inn
68,Castro,BR,66.24,-24.79,-50.01,CHACARA BAILLY
69,Dhidhdhoo,MV,83.93,6.88,73.1,Dhidhoo beach
73,Saint-Philippe,RE,69.8,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
75,Biak,ID,76.84,-0.91,122.88,Kost Ariz
76,Korla,CN,70.25,41.76,86.15,Gulisitan Hotel
77,Albany,US,89.01,42.6,-73.97,
78,Faridkot,IN,97.2,30.67,74.75,Sangam Hotel
79,Lubao,PH,75.2,14.92,120.55,Hacienda Gracia
80,Porto Murtinho,BR,90.05,-21.7,-57.88,Hotel Pantanal
81,Balabac,PH,82.2,7.99,117.06,Sing and Swing Lodge
82,Superior,US,75.99,46.72,-92.1,Holiday Inn Express & Suites Superior - Duluth Area
83,Kysyl-Syr,RU,60.4,63.9,122.76,
85,Manga,BF,80.94,11.66,-1.07,Auberge Somkieta
88,Adre,TD,84.61,13.47,22.2,
91,Saskylakh,RU,69.93,71.92,114.08,
95,Srednekolymsk,RU,79.95,67.45,153.68,
99,Fengzhen,CN,65.19,40.44,113.15,Feng Zhen Hotel
100,Saldanha,ZA,62.6,-33.01,17.94,Blue Bay Lodge
104,Taoudenni,ML,104.56,22.68,-3.98,
106,Champerico,GT,91.4,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
108,Victoria,HK,84.0,22.29,114.16,Mini Hotel Central
109,Nome,US,70.0,64.5,-165.41,Dredge 7 Inn
110,Omboue,GA,72.73,-1.57,9.26,Hotel Olako
111,Ponta Do Sol,PT,69.8,32.67,-17.1,Hotel do Campo
112,Cabo San Lucas,MX,89.6,22.89,-109.91,Hotel Tesoro Los Cabos
114,Caravelas,BR,74.89,-17.71,-39.25,Pousada dos Navegantes
115,Cape Town,ZA,63.0,-33.93,18.42,Southern Sun Waterfront Cape Town
117,Yaan,NG,72.88,7.38,8.57,
118,Road Town,VG,87.8,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
120,Puerto Ayora,EC,80.6,-0.74,-90.35,Finch Bay Galapagos Hotel
121,San Cristobal,VE,93.2,7.77,-72.22,Pirineos
124,Komsomolskiy,UZ,69.8,40.43,71.72,Ikathouse
125,Manzil Salim,TN,66.2,35.86,8.48,mohamed ben khlil omri
129,Mayumba,GA,73.38,-3.43,10.66,LIKWALE LODGE
130,East London,ZA,66.78,-33.02,27.91,Tu Casa
132,Ardakan,IR,96.8,32.31,54.02,Ardakan Hotel
136,Tiksi,RU,62.01,71.69,128.87,Arktika
137,Beberibe,BR,84.2,-4.18,-38.13,Villa Arte Pousada Morro Branco
138,Prabumulih,ID,72.32,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
140,Deputatskiy,RU,71.38,69.3,139.9,Baza Otdykha
142,Grand Gaube,MU,72.0,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
143,Faanui,PF,80.02,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
144,Cockburn Town,TC,83.19,21.46,-71.14,Osprey Beach Hotel
145,Gat,IL,75.2,31.61,34.76,רגע בנחת
146,Mahibadhoo,MV,83.84,3.78,72.97,Omadhoo Inn
148,Salalah,OM,82.4,17.02,54.09,HAMDAN PLAZA HOTEL
149,Bandarbeyla,SO,81.46,9.49,50.81,REER XOOSHLE GROUP
150,Posse,BR,78.3,-14.09,-46.37,Pousada das Palmeiras
151,Bethel,US,84.0,41.37,-73.41,Courtyard by Marriott Danbury
152,Contamana,PE,95.13,-7.33,-75.02,Shiringal Touristic Park
153,Alofi,NU,75.2,-19.06,-169.92,Taloa Heights
154,Aksu,CN,67.98,41.12,80.26,Pudong Holiday Hotel
155,Cidreira,BR,64.17,-30.18,-50.21,Novomar Pousada e Turismo Ltda
168,Oromocto,CA,97.0,45.84,-66.48,Days Inn by Wyndham Oromocto Conference Centre
169,Lalganj,IN,77.0,25.87,85.18,Ravi Ranjan
170,Puerto Escondido,MX,84.2,15.85,-97.07,Aldea del Bazar Hotel and Spa
171,North Branch,US,78.01,45.51,-92.98,AmericInn by Wyndham North Branch
172,Kitob,UZ,73.4,39.08,66.83,ULUG'BEK Hotel&Spa
174,Malinyi,TZ,70.25,-8.93,36.13,
176,Shingu,JP,63.46,33.73,135.98,Shingu UI Hotel
177,Beian,NO,62.6,63.66,9.57,Rønsholmen Brygger
179,Poum,NC,71.37,-20.23,164.02,Gîte kajeon
182,Pisco,PE,69.8,-13.7,-76.22,Hostal San Isidro Oficial
183,New Glasgow,CA,82.99,45.58,-62.65,Holiday Inn Express Stellarton-New Glasgow
184,Mbaiki,CF,73.62,3.87,17.99,
185,Nabire,ID,75.76,-3.37,135.48,Hotel Nusantara Nabire
186,Casas Grandes,MX,89.1,30.37,-107.95,PUEBLO DEL SOuL
188,Salinas,US,75.0,36.68,-121.66,Good Nite Inn Salinas Monterey
189,Manali,IN,87.8,13.17,80.27,Sarathy Lodge
190,Lompoc,US,66.2,34.64,-120.46,Holiday Inn Express Lompoc
191,Lagoa,PT,65.16,39.05,-27.98,Casa Das Faias
192,Ixtapa,MX,86.0,20.7,-105.2,Container Inn Puerto Vallarta
195,Cherskiy,RU,75.96,68.75,161.3,Gostinitsa
196,Kidal,ML,94.06,18.44,1.41,
198,Guerrero Negro,MX,72.57,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
201,Anadyr,RU,66.2,64.75,177.48,"Гостиница ""Анадырь"""
202,Poroszlo,HU,66.2,47.65,20.67,Kamillaház
203,Yanam,IN,81.91,16.73,82.22,The Regency Hotel
204,Mogadishu,SO,78.06,2.04,45.34,Hotel Juba
206,Bukama,CD,67.14,-9.2,25.85,
207,Thinadhoo,MV,84.49,0.53,72.93,
208,Saint George,US,91.99,37.1,-113.58,Best Western Plus Abbey Inn
210,Kahului,US,82.4,20.89,-156.47,Maui Seaside Hotel
211,Bubaque,GW,82.27,11.28,-15.83,Casa Dora
217,Liberal,US,75.2,37.04,-100.92,Hampton Inn & Suites Liberal
220,Faya,SA,73.4,18.39,42.45,مقبرة ال مجمل
221,Mahebourg,MU,71.6,-20.41,57.7,Shandrani Beachcomber Resort & Spa
222,Arraial Do Cabo,BR,78.8,-22.97,-42.03,Pousada Porto Praia
224,Mucurapo,TT,90.0,10.67,-61.53,Courtyard by Marriott Port of Spain
225,Eureka,US,71.01,40.8,-124.16,Eureka Inn Trademark By Wyndham
226,San Andres,CO,87.8,12.58,-81.7,Hotel Arena Blanca
228,Praia,CV,78.8,14.92,-23.51,LT Aparthotel
229,Imbituba,BR,69.8,-28.24,-48.67,Praia Hotel Imbituba
230,Borda Da Mata,BR,65.25,-22.27,-46.17,HOTEL SANDIEGO - BORDA DA MATA - MG
233,Belawan,ID,78.8,3.78,98.68,Lilik Hidayat Pulungan
236,Cap Malheureux,MU,72.0,-19.98,57.61,Pereybere Hotel & Spa
237,San Luis,AR,62.94,-33.3,-66.34,Huarpes Hotel
238,Envira,BR,88.93,-7.3,-70.22,
240,Zavetnoye,RU,79.43,47.12,43.89,
242,Avesta,SE,64.0,60.15,16.17,Avesta Stadshotell AB
243,Slave Lake,CA,71.6,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
244,Sola,VU,79.03,-13.88,167.55,Leumerus Bungalows
