City_ID,City,Country,Lat,Lng,Current Description,Rain (inches),Snow (inches),Max Temp,Humidity,Cloudiness,Wind Speed
0,Natchez,US,31.56,-91.4,clear sky,0.0,0.0,89.6,43,1,4.7
1,Richards Bay,ZA,-28.78,32.04,clear sky,0.0,0.0,61.41,88,0,4.7
2,Mataura,NZ,-46.19,168.86,overcast clouds,0.0,0.0,39.0,83,100,3.0
3,Seoul,KR,37.57,126.98,clear sky,0.0,0.0,69.8,93,0,1.12
4,Berlevag,NO,70.86,29.09,overcast clouds,0.0,0.0,42.8,75,90,12.75
5,Novyy Urengoy,RU,66.08,76.63,few clouds,0.0,0.0,40.24,71,11,6.6
6,Guia Lopes Da Laguna,BR,-21.46,-56.11,few clouds,0.0,0.0,85.53,47,12,5.61
7,Kupang,ID,-10.17,123.58,few clouds,0.0,0.0,76.64,80,11,14.09
8,Tasiilaq,GL,65.61,-37.64,drizzle,0.0,0.0,41.0,93,75,3.36
9,Gizo,SB,-8.1,156.84,light rain,0.38,0.38,81.97,76,22,6.15
10,Saint-Denis,FR,48.92,2.33,overcast clouds,0.0,0.0,66.99,63,86,5.82
11,Port Lincoln,AU,-34.73,135.87,clear sky,0.0,0.0,54.07,78,3,16.37
12,Vila Velha,BR,-20.33,-40.29,broken clouds,0.0,0.0,75.0,88,75,12.75
13,Bredasdorp,ZA,-34.53,20.04,clear sky,0.0,0.0,50.0,87,0,4.16
14,Lahij,YE,13.17,44.58,broken clouds,0.0,0.0,91.76,46,82,5.68
15,Carlsbad,US,33.16,-117.35,haze,0.0,0.0,73.99,64,40,10.29
16,Kavaratti,IN,10.57,72.64,overcast clouds,0.0,0.0,84.11,78,100,12.46
17,Qaanaaq,GL,77.48,-69.36,broken clouds,0.0,0.0,36.48,80,84,0.72
18,Nikolskoye,RU,59.7,30.79,broken clouds,0.0,0.0,68.0,64,54,6.71
19,Chimore,BO,-16.98,-65.13,light rain,0.29,0.29,78.4,85,100,1.9
20,Buala,SB,-8.14,159.59,clear sky,0.0,0.0,80.42,79,0,4.9
21,Isangel,VU,-19.55,169.27,broken clouds,0.0,0.0,71.6,88,75,15.23
22,Vaitape,PF,-16.52,-151.75,broken clouds,0.0,0.0,80.89,76,80,4.41
23,Vaini,TO,-21.2,-175.2,broken clouds,0.0,0.0,75.2,78,75,11.41
24,Las Guacamayas,MX,18.02,-102.22,scattered clouds,0.0,0.0,88.47,48,42,6.64
25,Tournai,BE,50.61,3.39,broken clouds,0.0,0.0,62.6,63,51,8.05
26,Chapulhuacan,MX,21.17,-98.9,light rain,0.16,0.16,81.3,63,12,7.87
27,Neftekumsk,RU,44.67,44.92,overcast clouds,0.0,0.0,74.21,45,100,7.65
28,Granadilla De Abona,ES,28.12,-16.58,few clouds,0.0,0.0,75.0,64,20,18.34
29,Jamestown,US,42.1,-79.24,broken clouds,0.0,0.0,80.01,53,75,6.93
30,Pouebo,NC,-20.4,164.57,few clouds,0.0,0.0,68.52,83,11,11.36
31,Svetlaya,RU,46.54,138.33,overcast clouds,0.0,0.0,48.99,92,100,7.43
32,Hithadhoo,MV,-0.6,73.08,light rain,0.29,0.29,84.02,72,100,6.29
33,Yellowknife,CA,62.46,-114.35,few clouds,0.0,0.0,71.6,37,20,16.11
34,Busselton,AU,-33.65,115.33,clear sky,0.0,0.0,42.01,77,0,10.6
35,Rikitea,PF,-23.12,-134.97,moderate rain,1.34,1.34,73.36,86,100,21.41
36,Marfino,RU,55.7,37.38,light rain,0.28,0.28,75.0,73,68,4.47
37,Fort-Shevchenko,KZ,44.51,50.26,overcast clouds,0.0,0.0,85.48,34,100,23.55
38,Gouyave,GD,12.16,-61.73,few clouds,0.0,0.0,89.6,66,20,17.22
39,Butaritari,KI,3.07,172.79,broken clouds,0.0,0.0,82.8,68,78,3.04
40,Hilo,US,19.73,-155.09,broken clouds,0.0,0.0,80.6,61,75,5.97
