City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-06-18 19:57:59,-54.8,-68.3,35.6,64,27,7.18
1,Gazanjyk,TM,2020-06-18 19:57:59,39.24,55.52,85.17,13,0,14.18
2,Puerto Ayora,EC,2020-06-18 19:57:59,-0.74,-90.35,84.2,51,50,9.17
3,Albany,US,2020-06-18 19:57:59,42.6,-73.97,88.0,57,39,1.99
4,Jamestown,US,2020-06-18 19:49:35,42.1,-79.24,80.6,54,75,9.17
5,Hobart,AU,2020-06-18 19:53:11,-42.88,147.33,39.99,100,100,4.7
6,Bereda,ES,2020-06-18 19:58:00,43.27,-7.54,61.0,82,33,4.0
7,Carndonagh,IE,2020-06-18 19:58:00,55.25,-7.27,58.89,86,100,3.67
8,Saint-Philippe,RE,2020-06-18 19:49:46,-21.36,55.77,71.6,68,40,12.75
9,Busselton,AU,2020-06-18 19:49:47,-33.65,115.33,41.0,97,51,3.42
10,Ostersund,SE,2020-06-18 19:58:01,63.18,14.64,68.0,45,0,10.29
11,San Quintin,MX,2020-06-18 19:58:01,30.48,-115.95,66.99,62,0,11.95
12,Cape Town,ZA,2020-06-18 19:53:05,-33.93,18.42,59.0,58,0,10.29
13,Clifton,US,2020-06-18 19:57:51,40.86,-74.16,80.01,69,90,9.17
14,Cape Coast,GH,2020-06-18 19:58:01,5.11,-1.25,76.23,88,100,7.52
15,Torbay,CA,2020-06-18 19:58:01,47.67,-52.73,68.0,60,90,11.41
16,Antofagasta,CL,2020-06-18 19:55:13,-23.65,-70.4,60.8,82,40,14.99
17,Pisco,PE,2020-06-18 19:58:02,-13.7,-76.22,68.0,68,75,6.93
18,Chuy,UY,2020-06-18 19:50:33,-33.7,-53.46,62.62,78,26,13.85
19,Posse,BR,2020-06-18 19:58:02,-14.09,-46.37,75.63,49,0,6.93
20,Nhulunbuy,AU,2020-06-18 19:51:25,-12.23,136.77,77.31,81,82,14.65
21,Port Alfred,ZA,2020-06-18 19:58:03,-33.59,26.89,57.0,79,0,7.0
22,Atuona,PF,2020-06-18 19:50:34,-9.8,-139.03,80.1,76,20,11.18
23,Punta Arenas,CL,2020-06-18 19:49:43,-53.15,-70.92,41.0,80,90,12.75
24,Tanete,ID,2020-06-18 19:58:03,-3.94,119.78,75.43,92,100,5.68
25,Kalabo,ZM,2020-06-18 19:58:03,-14.97,22.68,57.79,52,0,7.83
26,Bethel,US,2020-06-18 19:50:55,41.37,-73.41,81.0,57,40,11.41
27,Hermanus,ZA,2020-06-18 19:58:04,-34.42,19.23,51.01,75,0,1.01
28,Klaksvik,FO,2020-06-18 19:50:53,62.23,-6.59,48.2,100,100,5.82
29,Ilulissat,GL,2020-06-18 19:45:28,69.22,-51.1,33.8,64,90,6.93
30,Beisfjord,NO,2020-06-18 19:58:05,68.38,17.6,50.0,71,67,21.92
31,Lebu,CL,2020-06-18 19:46:19,-37.62,-73.65,53.94,91,100,16.62
32,Victoria,HK,2020-06-18 19:58:05,22.29,114.16,84.0,74,100,4.0
33,Rocha,UY,2020-06-18 19:50:08,-34.48,-54.33,59.02,78,100,13.24
34,Kupang,ID,2020-06-18 19:58:05,-10.17,123.58,75.99,82,99,12.75
35,Tshikapa,CD,2020-06-18 19:50:11,-6.42,20.8,69.91,34,15,1.83
36,San Patricio,MX,2020-06-18 19:58:06,19.22,-104.7,86.0,74,20,11.41
37,Hithadhoo,MV,2020-06-18 19:48:34,-0.6,73.08,84.4,77,100,9.42
38,Xining,CN,2020-06-18 19:58:06,36.62,101.77,59.52,54,100,2.82
39,Narsaq,GL,2020-06-18 19:50:30,60.92,-46.05,46.4,61,40,9.17
40,Beloha,MG,2020-06-18 19:58:07,-25.17,45.05,63.82,81,2,14.32
41,Mahebourg,MU,2020-06-18 19:58:07,-20.41,57.7,71.6,68,75,10.29
42,Siocon,PH,2020-06-18 19:58:07,7.71,122.14,79.7,81,100,4.16
43,Bluff,NZ,2020-06-18 19:50:57,-46.6,168.33,39.0,83,0,3.0
44,Avarua,CK,2020-06-18 19:46:24,-21.21,-159.78,73.4,69,47,10.29
45,Tiksi,RU,2020-06-18 19:50:32,71.69,128.87,52.03,76,100,5.68
46,Rikitea,PF,2020-06-18 19:58:08,-23.12,-134.97,76.01,85,100,16.24
47,Freeport,US,2020-06-18 19:53:19,40.66,-73.58,78.01,73,90,10.29
48,Fortuna,US,2020-06-18 19:58:09,40.6,-124.16,64.4,77,20,12.75
49,New Norfolk,AU,2020-06-18 19:50:04,-42.78,147.06,41.0,85,100,2.17
50,Hilo,US,2020-06-18 19:56:02,19.73,-155.09,80.6,65,20,8.43
51,Americus,US,2020-06-18 19:58:09,32.07,-84.23,86.0,42,90,4.43
52,Dikson,RU,2020-06-18 19:50:11,73.51,80.55,33.3,94,93,16.17
53,Longyearbyen,SJ,2020-06-18 19:58:10,78.22,15.64,44.6,65,75,8.05
54,Nyurba,RU,2020-06-18 19:58:10,63.28,118.33,50.56,96,15,4.05
55,Chokurdakh,RU,2020-06-18 19:49:43,70.63,147.92,77.02,38,71,5.14
56,Bredasdorp,ZA,2020-06-18 19:57:31,-34.53,20.04,48.2,87,0,4.76
57,Luderitz,NA,2020-06-18 19:51:09,-26.65,15.16,75.2,22,0,9.17
58,Caravelas,BR,2020-06-18 19:50:21,-17.71,-39.25,72.5,89,3,8.32
59,Thompson,CA,2020-06-18 19:53:35,55.74,-97.86,37.4,93,90,11.41
60,Kiunga,PG,2020-06-18 19:50:40,-6.12,141.29,72.46,99,85,2.06
61,Teya,RU,2020-06-18 19:58:11,60.38,92.63,54.03,71,90,3.42
62,Ostrovnoy,RU,2020-06-18 19:51:03,68.05,39.51,56.66,63,100,7.96
63,Naantali,FI,2020-06-18 19:58:11,60.47,22.02,66.2,63,0,3.36
64,Tuatapere,NZ,2020-06-18 19:51:56,-46.13,167.68,39.0,83,21,3.0
65,Anchorage,US,2020-06-18 19:49:23,61.22,-149.9,63.0,48,20,4.7
66,Cockburn Town,TC,2020-06-18 19:50:37,21.46,-71.14,86.0,62,40,14.99
67,Mao,ES,2020-06-18 19:58:12,39.89,4.27,69.8,73,0,4.7
68,North Battleford,CA,2020-06-18 19:58:12,52.78,-108.28,59.0,44,1,13.87
69,Leshukonskoye,RU,2020-06-18 19:58:13,64.9,45.76,54.73,65,100,5.46
70,Lisieux,FR,2020-06-18 19:58:13,49.17,0.17,62.6,93,100,9.17
71,Mar Del Plata,AR,2020-06-18 19:58:13,-38.0,-57.56,59.0,82,75,10.29
72,Karpathos,GR,2020-06-18 19:50:54,35.51,27.21,71.6,83,0,18.34
73,Saint Anthony,US,2020-06-18 19:55:35,45.02,-93.22,84.0,57,1,14.99
74,Clyde River,CA,2020-06-18 19:48:33,70.47,-68.59,33.8,88,90,10.29
75,Butaritari,KI,2020-06-18 19:46:02,3.07,172.79,83.07,63,100,6.06
76,Solnechnyy,RU,2020-06-18 19:58:14,50.72,136.63,43.77,93,100,6.29
77,Sitka,US,2020-06-18 19:58:14,57.05,-135.33,53.6,93,90,9.17
78,Port-Cartier,CA,2020-06-18 19:58:14,50.03,-66.87,82.4,39,75,5.82
79,Aklavik,CA,2020-06-18 19:51:44,68.22,-135.01,59.0,67,75,5.82
80,Tadine,NC,2020-06-18 19:58:15,-21.55,167.88,71.35,82,70,13.62
81,Inhambane,MZ,2020-06-18 19:51:48,-23.86,35.38,67.24,81,1,10.85
82,Tuktoyaktuk,CA,2020-06-18 19:50:21,69.45,-133.04,44.6,93,90,10.29
83,Takoradi,GH,2020-06-18 19:58:16,4.88,-1.76,77.43,87,100,8.28
84,Hofn,IS,2020-06-18 19:50:15,64.25,-15.21,49.01,84,0,3.33
85,Whitehorse,CA,2020-06-18 19:57:27,60.72,-135.05,59.0,51,75,11.41
86,Mwinilunga,ZM,2020-06-18 19:58:17,-11.74,24.43,53.98,60,0,4.74
87,San Cristobal,VE,2020-06-18 19:50:07,7.77,-72.22,84.2,70,75,12.75
88,Ankpa,NG,2020-06-18 19:58:17,7.37,7.63,72.99,95,99,3.53
89,Hasaki,JP,2020-06-18 19:50:00,35.73,140.83,64.0,100,75,3.36
90,Quatre Cocos,MU,2020-06-18 19:50:48,-20.21,57.76,71.6,68,75,10.29
91,Nantucket,US,2020-06-18 19:58:18,41.28,-70.1,71.01,93,90,8.05
92,Airai,TL,2020-06-18 19:50:04,-8.93,125.41,58.78,100,82,4.23
93,Hoa Binh,VN,2020-06-18 19:58:19,20.81,105.34,82.4,83,0,5.82
94,Kodiak,US,2020-06-18 19:46:08,57.79,-152.41,50.0,87,90,10.29
95,San Joaquin,VE,2020-06-18 19:58:19,10.26,-67.79,80.26,75,80,6.98
96,Safford,US,2020-06-18 19:58:19,32.83,-109.71,93.2,7,1,4.7
97,Ponta Do Sol,PT,2020-06-18 19:49:11,32.67,-17.1,71.6,68,20,10.29
98,Vangaindrano,MG,2020-06-18 19:58:20,-23.35,47.6,66.2,88,90,6.29
99,Hobyo,SO,2020-06-18 19:50:05,5.35,48.53,79.5,74,75,27.54
100,Barrow,US,2020-06-18 19:57:30,71.29,-156.79,46.4,65,1,8.05
101,Saskylakh,RU,2020-06-18 19:50:24,71.92,114.08,64.53,60,3,6.73
102,Kermanshah,IR,2020-06-18 19:58:21,34.31,47.06,77.0,13,0,11.41
103,La Libertad,EC,2020-06-18 19:58:21,-2.23,-80.9,78.8,78,75,11.41
104,Esperance,AU,2020-06-18 19:50:03,-33.87,121.9,46.4,93,40,11.41
105,Talas,TR,2020-06-18 19:58:21,38.69,35.55,59.0,82,75,8.05
106,Yellowknife,CA,2020-06-18 19:50:02,62.46,-114.35,64.0,62,20,16.11
107,Del Rio,US,2020-06-18 19:58:22,29.36,-100.9,91.4,52,20,12.75
108,Baoqing,CN,2020-06-18 19:58:22,46.33,132.21,46.8,96,0,5.23
109,Mollendo,PE,2020-06-18 19:58:22,-17.02,-72.01,63.23,78,100,4.5
110,Naraini,IN,2020-06-18 19:58:22,25.18,80.48,88.48,56,99,16.08
